City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Marawi,PH,2021-11-27 19:02:02,7.9986,124.2928,69.55,92,100,1.81
230,Kahului,US,2021-11-27 18:59:26,20.8947,-156.47,75.43,68,0,6.15
231,Paka,MY,2021-11-27 19:02:02,4.6374,103.4368,76.28,91,100,8.01
232,Constantine,DZ,2021-11-27 19:02:03,36.365,6.6147,51.08,52,78,19.04
233,San Cristobal,VE,2021-11-27 19:02:03,7.7669,-72.225,84.09,47,28,4.83
234,Kitimat,CA,2021-11-27 19:02:03,54.0524,-128.6534,32.5,97,100,2.68
235,Parksville,CA,2021-11-27 18:59:19,49.3163,-124.3195,47.48,98,100,25.32
236,Mount Darwin,ZW,2021-11-27 19:02:04,-16.7725,31.5838,69.64,54,7,9.01
237,Mookane,BW,2021-11-27 19:02:04,-23.688,26.6595,70.09,55,0,16.71
238,Kutum,SD,2021-11-27 19:02:04,14.2,24.6667,68.45,16,0,9.93
239,Lima,PE,2021-11-27 18:58:25,-12.0432,-77.0282,66.45,73,90,10.36
240,Port Pirie,AU,2021-11-27 19:02:04,-33.1833,138.0167,60.46,53,100,5.73
241,Jinchang,CN,2021-11-27 19:02:05,38.4953,102.1739,29.8,37,5,9.35
242,Palauig,PH,2021-11-27 19:02:05,15.435,119.9045,80.08,73,94,4.41
243,Sakaraha,MG,2021-11-27 19:02:05,-22.9,44.5333,64.94,59,0,16.08
244,Coahuayana,MX,2021-11-27 19:00:16,18.7333,-103.6833,88.9,48,81,6.89
245,Sioux Lookout,CA,2021-11-27 19:02:05,50.1001,-91.917,26.98,86,90,8.05
246,Kidal,ML,2021-11-27 19:02:06,18.4411,1.4078,82.63,16,0,7.81
247,Doha,QA,2021-11-27 19:02:06,25.2867,51.5333,76.98,69,0,8.05
248,Matagami,CA,2021-11-27 19:02:06,49.7502,-77.6328,17.71,100,90,13.8
249,Petropavlovsk-Kamchatskiy,RU,2021-11-27 19:02:06,53.0452,158.6483,21.79,68,75,6.71
